year_month,length
2017-01,146
2017-06,146
2021-01,376089
2021-05,178644
2021-06,67443
2021-07,23388
2021-08,23474
2021-09,29020
2021-10,25945
2021-11,13597
2021-12,14578
2022-01,352080
2022-02,7533
2022-03,13447
2022-04,32157
2022-05,71778
2022-06,24717
2022-07,29684
2022-08,38867
2022-09,39628
2022-10,20281
2022-11,21698
2022-12,34080
2023-01,1506165
2023-02,36400
2023-03,21700
2023-04,40363
2023-05,62107
2023-06,43332
2023-07,52172
2023-08,28508
2023-09,20457
2023-10,391428
2023-11,444184
2023-12,279856
2024-01,958201
2024-02,202725
2024-03,202288
2024-04,117480
